t,k,delta_cdm,delta_dot_cdm
0.03573602246065788,0.001,2.629572543691656e+25,1.7052760824014212e+28
0.03640174847446141,0.001,4.017240023506124e+25,2.5118167891092198e+28
0.037079876291681704,0.001,6.090352912549751e+25,3.6712387053871487e+28
0.03777063694539366,0.001,9.16847242204945e+25,5.326640050428454e+28
0.03847426577258504,0.001,1.3694835202177835e+26,7.6713616409185055e+28
0.03919100249433404,0.001,2.0308370543485957e+26,1.0967580464346286e+29
0.03992109129748051,0.001,2.991545104175307e+26,1.5571349533400782e+29
0.04066478091781856,0.001,4.374560643768855e+26,2.1953707947789076e+29
0.041422324724838956,0.001,6.352584947331486e+26,3.0738064743314892e+29
0.04219398080805026,0.001,9.166985881423403e+26,4.2753075241840745e+29
0.04298001206490796,0.001,1.3139466072884685e+27,5.9076210924624634e+29
0.04378068629038168,0.001,1.8705978652173446e+27,8.109734605585125e+29
0.04459627626819094,0.001,2.647036584880343e+27,1.1062445993266001e+30
0.04542705986374045,0.001,3.723040818374528e+27,1.4997627285977265e+30
0.04627332011878691,0.001,5.202334311985437e+27,2.020750072594232e+30
0.04713534534786907,0.001,7.226264577717598e+27,2.70629472817199e+30
0.048013429236534504,0.001,9.981625831662662e+27,3.603297809384503e+30
0.0489078709413959,0.001,1.3706561754281939e+28,4.770051566511375e+30
0.0498189751920516,0.001,1.8708916005837068e+28,6.278444306543673e+30
0.05074705239490466,0.001,2.5399653346220878e+28,8.217783705710659e+30
0.05169241873891599,0.001,3.4302433343987007e+28,1.069788146756216e+31
0.05265539630332755,0.001,4.6069000330957795e+28,1.3851925900580846e+31
0.053636313167392397,0.001,6.153116857715804e+28,1.7840650168382754e+31
0.05463550352214876,0.001,8.177351773518603e+28,2.2859157394747524e+31
0.055653307784276455,0.001,1.0814399917665881e+29,2.914156638141737e+31
0.05669007271207434,0.001,1.422878094883675e+29,3.6966037589309983e+31
0.057746151523598195,0.001,1.8624795621877788e+29,4.666058602555468e+31
0.058821904016999556,0.001,2.4264976720751992e+29,5.861442482429155e+31
0.05991769669310619,0.001,3.1470137676054055e+29,7.32846974466485e+31
0.06103390288028621,0.001,4.062550847797517e+29,9.120419331037467e+31
0.062170902861638275,0.001,5.219249891881622e+29,1.1298888583754991e+32
0.06332908400455114,0.001,6.675222625651231e+29,1.3935051534707242e+32
0.06450884089267693,0.001,8.501450040671783e+29,1.7111070831947234e+32
0.0657105754603627,0.001,1.0781849432816257e+30,2.0920811644310732e+32
0.0669346971295866,0.001,1.3614910322613373e+30,2.547115439445652e+32
0.0681816229494448,0.001,1.7117424374409402e+30,3.088248474412256e+32
0.06945177773823696,0.001,2.1434510528622125e+30,3.729093652742848e+32
0.07074559422819879,0.001,2.6737126711126656e+30,4.484943394701174e+32
0.07206351321293052,0.001,3.32230517403964e+30,5.3728667471942585e+32
0.0734059836975721,0.001,4.1120078346615896e+30,6.411885565817201e+32
0.07477346305177587,0.001,5.069218621830272e+30,7.622938954399043e+32
0.07616641716552891,0.001,6.226176324766176e+30,9.029073955853249e+32
0.07758532060787836,0.001,7.620256408051606e+30,1.065561446285895e+33
0.07903065678861347,0.001,9.293867469314354e+30,1.2530192381230603e+33
0.0805029181229598,0.001,1.1295001311802917e+31,1.4682929669961421e+33
0.0820026061993413,0.001,1.367778432980969e+31,1.7146508523741364e+33
0.08353023195026779,0.001,1.6505708968421056e+31,1.9955714812303835e+33
0.08508631582640581,0.001,1.985354904451691e+31,2.3147956575386167e+33
0.08667138797389233,0.001,2.3804779074393684e+31,2.676317941424342e+33
0.0882859884149515,0.001,2.8452205835384047e+31,3.0843940286732916e+33
0.08993066723187623,0.001,3.389885753248304e+31,3.543552208261563e+33
0.0916059847544371,0.001,4.025877314529531e+31,4.058581505416518e+33
0.0933125117507825,0.001,4.766366228626543e+31,4.6344128143831124e+33
0.09505082962189507,0.001,5.626554423027201e+31,5.276187495998741e+33
0.0968215305996708,0.001,6.623079521134191e+31,5.989264531851808e+33
0.09862521794868778,0.001,7.774094395935159e+31,6.779212795686444e+33
0.10046250617173408,0.001,9.09938385933248e+31,7.651804095042816e+33
0.10233402121916417,0.001,1.0620480824880534e+32,8.613003234753973e+33
0.10424040070215564,0.001,1.2360988397691575e+32,9.668837763213544e+33
0.1061822941099384,0.001,1.4348313396849484e+32,1.0825233736871912e+34
0.10816036303107099,0.001,1.6612417425350417e+32,1.208819002231516e+34
0.11017528137883868,0.001,1.918542266030963e+32,1.346378091661927e+34
0.11222773562085077,0.001,2.2101723511757932e+32,1.4958125888137144e+34
0.11431842501291496,0.001,2.53981017064816e+32,1.6577354351482374e+34
0.11644806183726861,0.001,2.911384417919979e+32,1.8327564978144873e+34
0.11861737164524785,0.001,3.329099770072863e+32,2.0214727534356164e+34
0.12082709350447766,0.001,3.797742080404198e+32,2.224422984388584e+34
0.12307798025066652,0.001,4.322505795708272e+32,2.4421184442142343e+34
0.12537079874409202,0.001,4.9088682180493235e+32,2.6750571292245307e+34
0.1277063301308644,0.001,5.562593857417892e+32,2.9237190810309845e+34
0.13008537010905713,0.001,6.289737658661763e+32,3.188561093975193e+34
0.1325087291997953,0.001,7.096646914289534e+32,3.4700107675254504e+34
0.13497723302339418,0.001,7.989960923326686e+32,3.768460067976637e+34
0.1374917225806419,0.001,8.976693316014322e+32,4.084258988059185e+34
0.14005305453932199,0.001,1.0064698989776296e+33,4.417635977714077e+34
0.14266210152607367,0.001,1.1262310377924578e+33,4.768756075550588e+34
0.14531975242368952,0.001,1.2578178105743978e+33,5.13774917763844e+34
0.14802691267395085,0.001,1.4021257916615532e+33,5.524706284436617e+34
0.1507845045861051,0.001,1.5600793630233683e+33,5.9296754794947065e+34
0.1535934676510897,0.001,1.732629562658965e+33,6.352657623795079e+34
0.1564547588616096,0.001,1.920751429778459e+33,6.793601748750758e+34
0.15936935303817745,0.001,2.1254410700207464e+33,7.252401367353766e+34
0.1623382431612278,0.001,2.3477501813191004e+33,7.728878956699237e+34
0.16536244070941805,0.001,2.5888297088122528e+33,8.222687621796859e+34
0.16844297600423153,0.001,2.8498697139593197e+33,8.733406283480281e+34
0.17158089856100048,0.001,3.132087776860953e+33,9.260567875664882e+34
0.17477727744646807,0.001,3.4367249373395404e+33,9.803660328968058e+34
0.1780332016430114,0.001,3.7650408655883413e+33,1.036212812357154e+35
0.18134978041964955,0.001,4.118308172891479e+33,1.0935374492698494e+35
0.1847281437099634,0.001,4.497805764158174e+33,1.152276436683864e+35
0.18816944249705556,0.001,4.904811124470277e+33,1.2123628158444295e+35
0.1916748492056815,0.001,5.340592909614303e+33,1.2737265633649724e+35
0.1952455581016861,0.001,5.806494551103841e+33,1.3362876676458615e+35
0.19888278569888096,0.001,6.303953703502012e+33,1.3999514843428127e+35
0.2025877711735017,0.001,6.834420155496458e+33,1.4646183676503582e+35
0.20636177678638587,0.001,7.399356527783805e+33,1.5301847979772185e+35
0.21020608831301582,0.001,8.00023174994999e+33,1.5965440821404075e+35
0.21412201548157292,0.001,8.638513532835838e+33,1.6635871980198673e+35
0.21811089241915188,0.001,9.315659727675507e+33,1.73120380127895e+35
0.22217407810628836,0.001,1.0033108453043347e+34,1.7992834135301695e+35
0.22631295683995284,0.001,1.0792266859492693e+34,1.867716813261863e+35
0.23052893870517072,0.001,1.1594498389644295e+34,1.9363976529538743e+35
0.2348234600554275,0.001,1.244110837829815e+34,2.0052243281140343e+35
0.23919798400202386,0.001,1.333338954483707e+34,2.074093469263696e+35
0.2436540009125465,0.001,1.427282190555846e+34,2.1428772931715123e+35
0.2481930289186254,0.001,1.5260833751086652e+34,2.2114576725203294e+35
0.2528166144331499,0.001,1.6298834549334682e+34,2.2797158962440247e+35
0.25752633267712,0.001,1.7388216520827588e+34,2.3475322014196628e+35
0.2623237882163122,0.001,1.8530347235067492e+34,2.4147867871043844e+35
0.26721061550794334,0.001,1.97265613477903e+34,2.4813609942088464e+35
0.2721884794575178,0.001,2.097815139899938e+34,2.5471386701784513e+35
0.27725907598604826,0.001,2.2286357584802804e+34,2.6120077390753586e+35
