t,k,delta_fdm,delta_dot_fdm
0.05074705239490466,0.001,2.539965334621901e+28,8.217783705710068e+30
0.05169241873891599,0.001,3.430243334398436e+28,1.0697881467561363e+31
0.05265539630332755,0.001,4.6069000330954875e+28,1.3851925900579817e+31
0.053636313167392397,0.001,6.1531168577154e+28,1.784065016838143e+31
0.05463550352214876,0.001,8.177351773517973e+28,2.2859157394745795e+31
0.055653307784276455,0.001,1.0814399917665002e+29,2.914156638141508e+31
0.05669007271207434,0.001,1.4228780948835765e+29,3.6966037589307056e+31
0.057746151523598195,0.001,1.8624795621876507e+29,4.6660586025551e+31
0.058821904016999556,0.001,2.4264976720750067e+29,5.8614424824286835e+31
0.05991769669310619,0.001,3.147013767605136e+29,7.328469744664246e+31
0.06103390288028621,0.001,4.06255084779719e+29,9.120419331036696e+31
0.062170902861638275,0.001,5.2192498918812514e+29,1.1298888583754044e+32
0.06332908400455114,0.001,6.675222625650706e+29,1.393505153470606e+32
0.06450884089267693,0.001,8.501450040671038e+29,1.711107083194576e+32
0.0657105754603627,0.001,1.0781849432815286e+30,2.0920811644308902e+32
0.0669346971295866,0.001,1.3614910322612275e+30,2.5471154394454235e+32
0.0681816229494448,0.001,1.711742437440808e+30,3.0882484744119784e+32
0.06945177773823696,0.001,2.1434510528620296e+30,3.729093652742508e+32
0.07074559422819879,0.001,2.673712671112417e+30,4.484943394700761e+32
0.07206351321293052,0.001,3.322305174039326e+30,5.372866747193754e+32
0.0734059836975721,0.001,4.1120078346612293e+30,6.4118855658165855e+32
0.07477346305177587,0.001,5.0692186218298506e+30,7.622938954398308e+32
0.07616641716552891,0.001,6.226176324765618e+30,9.029073955852368e+32
0.07758532060787836,0.001,7.620256408050865e+30,1.06556144628579e+33
0.07903065678861347,0.001,9.293867469313423e+30,1.2530192381229357e+33
0.0805029181229598,0.001,1.1295001311801818e+31,1.4682929669959934e+33
0.0820026061993413,0.001,1.3677784329808464e+31,1.7146508523739594e+33
0.08353023195026779,0.001,1.650570896841954e+31,1.995571481230176e+33
0.08508631582640581,0.001,1.9853549044514946e+31,2.3147956575383743e+33
0.08667138797389233,0.001,2.38047790743912e+31,2.676317941424059e+33
0.0882859884149515,0.001,2.8452205835381025e+31,3.084394028672961e+33
0.08993066723187623,0.001,3.3898857532479544e+31,3.5435522082611755e+33
0.0916059847544371,0.001,4.0258773145291414e+31,4.058581505416066e+33
0.0933125117507825,0.001,4.766366228626072e+31,4.6344128143825924e+33
0.09505082962189507,0.001,5.6265544230266105e+31,5.276187495998145e+33
0.0968215305996708,0.001,6.623079521133457e+31,5.989264531851126e+33
0.09862521794868778,0.001,7.774094395934275e+31,6.779212795685662e+33
0.10046250617173408,0.001,9.09938385933145e+31,7.651804095041916e+33
0.10233402121916417,0.001,1.0620480824879387e+32,8.613003234752941e+33
0.10424040070215564,0.001,1.2360988397690271e+32,9.66883776321237e+33
0.1061822941099384,0.001,1.434831339684792e+32,1.0825233736870588e+34
0.10816036303107099,0.001,1.661241742534852e+32,1.2088190022313675e+34
0.11017528137883868,0.001,1.9185422660307347e+32,1.3463780916617606e+34
0.11222773562085077,0.001,2.210172351175524e+32,1.4958125888135274e+34
0.11431842501291496,0.001,2.5398101706478516e+32,1.6577354351480266e+34
0.11644806183726861,0.001,2.911384417919634e+32,1.83275649781425e+34
0.11861737164524785,0.001,3.329099770072479e+32,2.0214727534353498e+34
0.12082709350447766,0.001,3.797742080403752e+32,2.224422984388288e+34
0.12307798025066652,0.001,4.322505795707746e+32,2.4421184442139083e+34
0.12537079874409202,0.001,4.9088682180487045e+32,2.6750571292241724e+34
0.1277063301308644,0.001,5.562593857417172e+32,2.9237190810305898e+34
0.13008537010905713,0.001,6.289737658660937e+32,3.188561093974758e+34
0.1325087291997953,0.001,7.096646914288607e+32,3.47001076752497e+34
0.13497723302339418,0.001,7.989960923325658e+32,3.7684600679761043e+34
0.1374917225806419,0.001,8.976693316013186e+32,4.084258988058597e+34
0.14005305453932199,0.001,1.0064698989775006e+33,4.417635977713434e+34
0.14266210152607367,0.001,1.1262310377923098e+33,4.768756075549891e+34
0.14531975242368952,0.001,1.2578178105742278e+33,5.137749177637685e+34
0.14802691267395085,0.001,1.4021257916613586e+33,5.5247062844358e+34
0.1507845045861051,0.001,1.5600793630231472e+33,5.929675479493825e+34
0.1535934676510897,0.001,1.7326295626587178e+33,6.352657623794122e+34
0.1564547588616096,0.001,1.9207514297781855e+33,6.793601748749718e+34
0.15936935303817745,0.001,2.1254410700204484e+33,7.252401367352636e+34
0.1623382431612278,0.001,2.347750181318773e+33,7.7288789566980115e+34
0.16536244070941805,0.001,2.5888297088118888e+33,8.222687621795541e+34
0.16844297600423153,0.001,2.849869713958912e+33,8.733406283478872e+34
0.17158089856100048,0.001,3.1320877768604956e+33,9.260567875663379e+34
0.17477727744646807,0.001,3.436724937339026e+33,9.80366032896646e+34
0.1780332016430114,0.001,3.765040865587767e+33,1.036212812356984e+35
0.18134978041964955,0.001,4.118308172890842e+33,1.0935374492696686e+35
0.1847281437099634,0.001,4.497805764157472e+33,1.1522764366836715e+35
0.18816944249705556,0.001,4.904811124469512e+33,1.2123628158442236e+35
0.1916748492056815,0.001,5.340592909613477e+33,1.2737265633647525e+35
0.1952455581016861,0.001,5.806494551102943e+33,1.336287667645627e+35
0.19888278569888096,0.001,6.303953703501032e+33,1.3999514843425639e+35
0.2025877711735017,0.001,6.834420155495385e+33,1.4646183676500951e+35
0.20636177678638587,0.001,7.399356527782627e+33,1.5301847979769416e+35
0.21020608831301582,0.001,8.000231749948692e+33,1.596544082140117e+35
0.21412201548157292,0.001,8.63851353283441e+33,1.663587198019563e+35
0.21811089241915188,0.001,9.315659727673944e+33,1.7312038012786317e+35
0.22217407810628836,0.001,1.003310845304164e+34,1.7992834135298367e+35
0.22631295683995284,0.001,1.079226685949084e+34,1.867716813261515e+35
0.23052893870517072,0.001,1.1594498389642296e+34,1.9363976529535083e+35
0.2348234600554275,0.001,1.244110837829601e+34,2.005224328113649e+35
0.23919798400202386,0.001,1.333338954483478e+34,2.0740934692632913e+35
0.2436540009125465,0.001,1.4272821905556e+34,2.142877293171088e+35
0.2481930289186254,0.001,1.5260833751084005e+34,2.2114576725198864e+35
0.2528166144331499,0.001,1.6298834549331828e+34,2.2797158962435624e+35
0.25752633267712,0.001,1.7388216520824507e+34,2.347532201419183e+35
0.2623237882163122,0.001,1.8530347235064167e+34,2.4147867871038867e+35
0.26721061550794334,0.001,1.9726561347786709e+34,2.481360994208332e+35
0.2721884794575178,0.001,2.0978151398995504e+34,2.547138670177921e+35
0.27725907598604826,0.001,2.2286357584798635e+34,2.6120077390748122e+35
0.28242413260784344,0.001,2.365235640865359e+34,2.6758619996383593e+35
0.28768540901905926,0.001,2.5077248109593212e+34,2.7386031760630478e+35
0.29304469769721425,0.001,2.656204275631883e+34,2.8001432485861805e+35
0.2985038245118731,0.001,2.81076448866502e+34,2.860407093538802e+35
0.3040646493467067,0.001,2.9714856697780504e+34,2.9193317058229844e+35
0.3097290667331408,0.001,3.138471149963502e+34,2.9768133836771575e+35
0.3154990064958087,0.001,3.3118238586975745e+34,3.032762392375769e+35
0.3213764344100277,0.001,3.491637044432954e+34,3.08710228992598e+35
0.32736335287152457,0.001,3.6779989614628315e+34,3.1397585105083045e+35
0.3334618015786364,0.001,3.870992397035229e+34,3.1906589866386227e+35
0.33967385822722074,0.001,4.070694183653356e+34,3.2397348446004928e+35
0.34600163921851085,0.001,4.277174697718877e+34,3.2869211801005077e+35
0.35244730038015837,0.001,4.490497345935808e+34,3.332157921702878e+35
0.35901303770070686,0.001,4.710718041184926e+34,3.375390790252845e+35
0.365701088077749,0.001,4.937884669905418e+34,3.4165723632060805e+35
0.372513730080021,0.001,5.172036553385002e+34,3.4556632535471646e+35
0.37945328472369383,0.001,5.413203905766003e+34,3.492633413809333e+35
0.38652211626312616,0.001,5.661407292026698e+34,3.527463576605004e+35
0.3937226329963479,0.001,5.916657089699113e+34,3.560146844047642e+35
0.4010572880855496,0.001,6.178952958641098e+34,3.590690439496144e+35
0.4085285803928561,0.001,6.448290987614765e+34,3.619098629303428e+35
0.41613905533167067,0.001,6.724691129435183e+34,3.645336869714143e+35
0.42389130573387784,0.001,7.008170146586685e+34,3.669393455055195e+35
0.43178797273320213,0.001,7.298736579795801e+34,3.6912623242996135e+35
0.4398317466650224,0.001,7.596390889454592e+34,3.710941924437229e+35
0.44802536798294895,0.001,7.9011253688659845e+34,3.728435322747343e+35
0.45637162819247584,0.001,8.212924123883143e+34,3.7437502883111965e+35
0.4648733708020257,0.001,8.53176312987035e+34,3.756899337060736e+35
0.4735334922917116,0.001,8.857610378147347e+34,3.7678997339887365e+35
0.48235494310014676,0.001,9.190426125433177e+34,3.7767734454073886e+35
0.4913407286296362,0.001,9.530163261289943e+34,3.7835470333320424e+35
0.5004939102700954,0.001,9.876767810193392e+34,3.7882514831773046e+35
0.5098176064420424,0.001,1.0230179586637986e+35,3.790921954977103e+35
0.5193149936590212,0.001,1.0590333023633347e+35,3.791597447270911e+35
0.5289893076098151,0.001,1.0957158197080798e+35,3.790320361626724e+35
0.5388438442608223,0.001,1.1330582070850015e+35,3.787135954488584e+35
0.5488819609789671,0.001,1.1710529989923003e+35,3.782091661632573e+35
0.559107077675529,0.001,1.2096927451755468e+35,3.775236278979613e+35
0.5695226779712822,0.001,1.2489682929860413e+35,3.766628147573715e+35
0.5801323103833375,0.001,1.2888702598808638e+35,3.756319238841748e+35
0.5909395895340968,0.001,1.3293925690729432e+35,3.74434007779763e+35
0.6019481973827271,0.001,1.3705283723896952e+35,3.730725329592463e+35
0.6131618844795772,0.001,1.4122700002419483e+35,3.715514057252264e+35
0.6245844712439614,0.001,1.4546089801111879e+35,3.698749585972263e+35
0.6362198492657485,0.001,1.49753606465712e+35,3.680479303210088e+35
0.6480719826311967,0.001,1.5410412707815242e+35,3.6607543854836715e+35
0.6601449092734886,0.001,1.5851139311257437e+35,3.639629441801578e+35
0.6724427423484246,0.001,1.6297427596337705e+35,3.617162062582532e+35
0.6849696716357443,0.001,1.674915932981874e+35,3.593412261749357e+35
0.6977299649665534,0.001,1.7206211898603992e+35,3.568441798401126e+35
0.7107279696773416,0.001,1.7668459502949902e+35,3.5423133630667406e+35
0.7239681140910874,0.001,1.813577457414678e+35,3.515089612012828e+35
0.7374549090259551,0.001,1.8608029443144797e+35,3.486832031407528e+35
0.7511929493320965,0.001,1.9085098289222018e+35,3.4575996113172406e+35
0.7651869154570822,0.001,1.956685940064875e+35,3.427447307522406e+35
0.7794415750404946,0.001,2.005319778241673e+35,3.396424266966606e+35
0.7939617845382279,0.001,2.0544008149495488e+35,3.364571790285054e+35
0.8087524908770453,0.001,2.1039198347774193e+35,3.3319210022772166e+35
0.8238187331399606,0.001,2.1538663017297036e+35,3.298513920955964e+35
0.8391656442830157,0.001,2.2042220030766672e+35,3.2644498574757933e+35
0.8547984528840409,0.001,2.2549760957227515e+35,3.229765289905336e+35
0.8707224849239917,0.001,2.306118037300317e+35,3.1944925854699015e+35
0.8869431656014709,0.001,2.3576368130622746e+35,3.1586662904134816e+35
0.9034660211810525,0.001,2.4095209598986567e+35,3.1223230304104677e+35
0.920296680876041,0.001,2.461758596060671e+35,3.085501377543238e+35
0.9374408787662991,0.001,2.5143374572455998e+35,3.0482416793918003e+35
0.9549044557518077,0.001,2.567244939757814e+35,3.0105858453162907e+35
