Time,Position,Velocity
0.0,1.0,-0.05
0.1,0.995,-0.09975000000000002
0.2,0.98005,-0.19850250000000003
0.30000000000000004,0.9552995,-0.2952699750000001
0.4,0.920996005,-0.38908475025000006
0.5,0.87748254995,-0.47900867799750013
0.6,0.8251942694005,-0.5641425189650251
0.7,0.764654046156995,-0.6436349347428998
0.7999999999999999,0.69646728245192,-0.7166910011733456
0.8999999999999999,0.6213158459223258,-0.7825801575920579
0.9999999999999999,0.5399512509335084,-0.8406435124348496
1.0999999999999999,0.4531871434353559,-0.8903004321532928
1.2,0.3618911645028498,-0.9310543475502031
1.3,0.26697627392531526,-0.9624977194716114
1.4000000000000001,0.16939162060852753,-0.9843161141983036
1.5000000000000002,0.07011305108565452,-0.9962913477830126
1.6000000000000003,-0.029866648948075017,-0.9983036678898917
1.7000000000000004,-0.1295476824923238,-0.9903329513178717
1.8000000000000005,-0.22793323921164935,-0.972458905232673
1.9000000000000006,-0.3240394635388584,-0.9448602700951476
2.0000000000000004,-0.4169052932306788,-0.9078130322566708
2.1000000000000005,-0.5056020699901925,-0.8616876640956272
2.2000000000000006,-0.5892428260498043,-0.8069454192936275
2.3000000000000007,-0.6669911538489179,-0.7441337202986913
2.400000000000001,-0.7380695701095424,-0.6738806841007683
2.500000000000001,-0.8017672906690716,-0.5968888410618375
2.600000000000001,-0.85744733832191,-0.5139281096122884
2.700000000000001,-0.9045529125915293,-0.4258280970666165
2.800000000000001,-0.9426129577352332,-0.33346980355027833
2.9000000000000012,-0.9712468733015849,-0.23777681199843745
3.0000000000000013,-0.9901683201349207,-0.13970605232661215
3.1000000000000014,-0.9991880837669074,-0.040238232131520744
3.2000000000000015,-0.9982159665612249,0.05963197038488588
3.3000000000000016,-0.9872616896899302,0.15890585319744366
3.4000000000000017,-0.9664347959217362,0.256590677478027
3.5000000000000018,-0.9359435541943248,0.35170959498383003
3.600000000000002,-0.8960928769249702,0.44331141653979483
3.700000000000002,-0.8472812708863658,0.5304801239303616
3.800000000000002,-0.7899968521388978,0.6123440300816247
3.900000000000002,-0.7248124648700408,0.6880844959320717
4.000000000000002,-0.6523799529524834,0.7569441168231978
4.100000000000001,-0.5734236415054013,0.8182342965460921
4.200000000000001,-0.488733093643265,0.8713421333035255
4.300000000000001,-0.3991552148446961,0.9157365487279236
4.4,-0.30558578389768026,0.9509735986650425
4.5,-0.20896049511168763,0.9767009126155108
4.6,-0.1102456013745781,0.992661217439824
4.699999999999999,-0.010428251623722795,0.9986949100897392
4.799999999999999,0.08949338064336974,0.9947416536387569
4.899999999999999,0.18852007910402857,0.9808409806513869
4.999999999999998,0.2856615767736471,0.9571318978575032
5.099999999999998,0.37994645867552923,0.9238514960850442
5.1999999999999975,0.470431875990656,0.881332579351735
5.299999999999997,0.5562129745458763,0.8300003368249084
5.399999999999997,0.6364319433556377,0.7703680909298327
5.4999999999999964,0.7102865927318428,0.7030321641254588
5.599999999999996,0.7770383761807295,0.6286659156798301
5.699999999999996,0.8360197758678088,0.5480130080774032
5.799999999999995,0.8866409777962101,0.4618799703942022
5.899999999999995,0.9283957699466493,0.3711281330070592
5.999999999999995,0.960866604397622,0.27666501428984563
6.099999999999994,0.9837287728046185,0.1794352454297336
6.199999999999994,0.9967536534835687,0.08041112411532425
6.299999999999994,0.9998109976276833,-0.019417108440238362
6.399999999999993,0.992870231795521,-0.11905116991139858
6.499999999999993,0.9760007636454036,-0.2174947196834448
6.5999999999999925,0.9493712878588321,-0.3137633222586566
6.699999999999992,0.9132480991936722,-0.4068942916112818
6.799999999999992,0.8679924295365757,-0.4959563180477942
6.8999999999999915,0.8140568355841135,-0.5800587813038287
6.999999999999991,0.75198067327581,-0.6583606567468249
7.099999999999991,0.6823847042347484,-0.7300789256223528
7.19999999999999,0.6059648881513393,-0.7944964052416571
7.29999999999999,0.5234854231864169,-0.850968920808545
7.39999999999999,0.4357711039896303,-0.8989317471673474
7.499999999999989,0.3436990737529474,-0.9379052560544763
7.599999999999989,0.24819005277873502,-0.9674997123810605
7.699999999999989,0.1501991312767353,-0.9874191715838339
7.799999999999988,0.05070621846196821,-0.997464439070769
7.899999999999988,-0.049293756537418534,-0.9975350621669965
7.999999999999988,-0.1488007939714311,-0.987630334641554
8.099999999999987,-0.24681982346572934,-0.967849303769696
8.199999999999987,-0.3423706547253703,-0.938389779860141
8.299999999999986,-0.4344977794377576,-0.8995463581519846
8.399999999999986,-0.5222799263557673,-0.8517074728623083
8.499999999999986,-0.6048392740102193,-0.795351512844009
8.599999999999985,-0.6813502289245691,-0.7310420376972696
8.699999999999985,-0.7510476815496732,-0.6594221421735574
8.799999999999985,-0.8132346573592806,-0.5812080252281098
8.899999999999984,-0.8672892865952951,-0.49718182803038097
8.999999999999984,-0.9126710229653567,-0.40818381255234837
9.099999999999984,-0.9489260491057648,-0.3151039589487923
9.199999999999983,-0.9756918147551152,-0.21887306575574828
9.299999999999983,-0.9927006622569144,-0.12045344190514679
9.399999999999983,-0.9997825031361446,-0.020829283635493828
9.499999999999982,-0.9968665189840132,0.07900316747051406
9.599999999999982,-0.9839818696420418,0.17804558690181682
9.699999999999982,-0.9612574016036499,0.2753075504641014
9.799999999999981,-0.9289203595492215,0.36981643852174495
9.89999999999998,-0.8872941138993009,0.46062716219417105
9.99999999999998,-0.8367949271103873,0.5468316142446554
10.09999999999998,-0.7779277910503698,0.6275677501526933
10.19999999999998,-0.7112813770798486,0.7020282085592042
10.29999999999998,-0.6375221493385289,0.769468384880123
10.399999999999979,-0.557387700103824,0.8292138773522407
