t,k,delta_fdm,delta_dot_fdm,scale_factor_a
0.01,0.001,1e-05,0.0,0.046415888336127795
0.010376050197669117,0.001,1.0004523063816948e-05,2.3577113648704876e-05,0.0475723613918789
0.010766241770454932,0.001,1.0018025894165452e-05,4.518738062031349e-05,0.04875764850196832
0.011171106505048243,0.001,1.0040412297889091e-05,6.497338080436344e-05,0.0499724675817191
0.011591196185988858,0.001,1.0071587875450006e-05,8.307164107322125e-05,0.051217554433642426
0.012027083347685121,0.001,1.0111344571066848e-05,9.965720150567831e-05,0.052493663193105077
0.012479362054713113,0.001,1.0159547418895951e-05,0.00011486925204485427,0.05380156678510092
0.012948648711459043,0.001,1.0216312150068736e-05,0.00012874237590252996,0.055142057392403014
0.013435582902208256,0.001,1.0281713111976442e-05,0.0001413265488390957,0.056515946935380035
0.013940828262825779,0.001,1.0355780566607596e-05,0.00015268762730699399,0.057924067563767404
0.014465073385216463,0.001,1.0438501982902674e-05,0.00016290616444373802,0.05936727216069125
0.015009032755797359,0.001,1.05298259310216e-05,0.0001720751390263945,0.0608464348592503
0.015573447729261345,0.001,1.0629669392958408e-05,0.00018029627953844852,0.06236245157196864
0.016159087538959182,0.001,1.0737929490005037e-05,0.00018767459476609817,0.06391624053344004
0.016766750345277,0.001,1.0854500850604356e-05,0.00019431063774103332,0.06550874285649257
0.017397264323438015,0.001,1.0979300108943767e-05,0.00020028992884911495,0.06714092310221016
0.01805148879221109,0.001,1.1112299343223021e-05,0.00020566884355514481,0.06881376986415669
0.018730315385064374,0.001,1.125357064227926e-05,0.00021045612696164766,0.07052829636715614
0.0194346692653602,0.001,1.140327839604745e-05,0.00021462339482945965,0.07228554108099174
0.020165510387247464,0.001,1.1561371558991321e-05,0.0002182739040373778,0.07408656834939563
0.020923834803969768,0.001,1.1727949051641567e-05,0.00022144122891668103,0.07593246903471011
0.021710676025372647,0.001,1.1903123939119527e-05,0.00022414603707336718,0.07782436117861093
0.022527106426459807,0.001,1.2086986762890647e-05,0.00022641449544991916,0.07976339067929278
