t,k,delta_cdm,delta_dot_cdm,scale_factor_a
0.01,1e-06,1e-05,0.0,0.046415888336127795
0.010376050197669117,1e-06,1.0004523063816985e-05,2.3577113648893042e-05,0.0475723613918789
0.010766241770454932,1e-06,1.0018025894165596e-05,4.5187380620669856e-05,0.04875764850196832
0.011171106505048243,1e-06,1.004041229788941e-05,6.497338080487002e-05,0.0499724675817191
0.011591196185988858,1e-06,1.0071587875450567e-05,8.307164107386168e-05,0.051217554433642426
0.012027083347685121,1e-06,1.0111344571067707e-05,9.965720150644173e-05,0.052493663193105077
0.012479362054713113,1e-06,1.0159547418897171e-05,0.00011486925204572597,0.05380156678510092
0.012948648711459043,1e-06,1.0216312150070384e-05,0.00012874237590349588,0.055142057392403014
0.013435582902208256,1e-06,1.0281713111978581e-05,0.0001413265488401432,0.056515946935380035
0.013940828262825779,1e-06,1.035578056661029e-05,0.0001526876273081119,0.057924067563767404
0.014465073385216463,1e-06,1.0438501982905976e-05,0.00016290616444491685,0.05936727216069125
0.015009032755797359,1e-06,1.0529825931025568e-05,0.00017207513902762632,0.0608464348592503
0.015573447729261345,1e-06,1.0629669392963093e-05,0.00018029627953972702,0.06236245157196864
0.016159087538959182,1e-06,1.0737929490010488e-05,0.00018767459476741835,0.06391624053344004
0.016766750345277,1e-06,1.0854500850610624e-05,0.00019431063774239112,0.06550874285649257
0.017397264323438015,1e-06,1.0979300108950897e-05,0.00020028992885050634,0.06714092310221016
0.01805148879221109,1e-06,1.1112299343231063e-05,0.00020566884355656504,0.06881376986415669
0.018730315385064374,1e-06,1.1253570642288268e-05,0.0002104561269630895,0.07052829636715614
0.0194346692653602,1e-06,1.140327839605748e-05,0.00021462339483091812,0.07228554108099174
0.020165510387247464,1e-06,1.1561371559002419e-05,0.0002182739040388514,0.07408656834939563
0.020923834803969768,1e-06,1.1727949051653784e-05,0.0002214412289181656,0.07593246903471011
0.021710676025372647,1e-06,1.1903123939132919e-05,0.00022414603707485915,0.07782436117861093
0.022527106426459807,1e-06,1.2086986762905264e-05,0.0002264144954514156,0.07976339067929278
0.02337423870891815,1e-06,1.227960707004552e-05,0.00022827771165796106,0.08175073198552718
0.024253227417603527,1e-06,1.2481036610042536e-05,0.0002297707517063199,0.08378758880801322
0.025165270514053917,1e-06,1.2691314697150277e-05,0.00023093111337121105,0.08587519484845176
0.026111611009174595,1e-06,1.2910476347928674e-05,0.00023179650779578092,0.08801481454678489
0.027093538657320514,1e-06,1.313856393721119e-05,0.00023240177016333282,0.09020774384705342
0.02811239171408464,1e-06,1.3375643275299632e-05,0.00023277468232922805,0.09245531098233574
0.02916955876018796,1e-06,1.3621825199438689e-05,0.00023293044513755307,0.094758877279244
0.030266480593956924,1e-06,1.3877291191625899e-05,0.0002328652331129162,0.09711983798246455
0.03140465219496752,1e-06,1.4142120422686775e-05,0.0002326052200060305,0.09953962309984238
0.03258562476153226,1e-06,1.4416421374141294e-05,0.00023217621226208075,0.10201969826852095
0.03381100782480685,1e-06,1.4700384099303709e-05,0.00023158323686479768,0.10456156564266254
0.03508247144239792,1e-06,1.4994189630627149e-05,0.00023083322712746067,0.10716676480328638
0.03640174847446141,1e-06,1.529800985204676e-05,0.00022993501998353285,0.10983687369077591
0.03777063694539366,1e-06,1.561200784745249e-05,0.0002288992748270598,0.11257350956061984
0.03919100249433404,1e-06,1.5936338881388626e-05,0.000227738288720233,0.1153783299629661
0.04066478091781856,1e-06,1.6271152203869703e-05,0.00022646567700577473,0.11825303374658137
0.04219398080805026,1e-06,1.6616593914086102e-05,0.00022509588143244613,0.12119936208782531
0.04378068629038168,1e-06,1.697281116904693e-05,0.00022364345961142917,0.12421909954526175
0.04542705986374045,1e-06,1.733995808440122e-05,0.00022212209972084668,0.12731407514054613
0.04713534534786907,1e-06,1.77182037475847e-05,0.00022054329257303518,0.13048616346624364
0.0489078709413959,1e-06,1.8107742850164246e-05,0.00021891457911126929,0.1337372858212496
0.05074705239490466,1e-06,1.8508809549265222e-05,0.00021723727470685284,0.13706941137449852
0.05265539630332755,1e-06,1.8921694092220972e-05,0.00021550387736465974,0.14048455835766827
0.05463550352214876,1e-06,1.9346647927646188e-05,0.00021372256341363935,0.14398479528760078
0.05669007271207434,1e-06,1.9783891884403852e-05,0.00021190532496878254,0.14757224221917964
0.058821904016999556,1e-06,2.0233680127017982e-05,0.00021005445193006712,0.1512490720294242
0.06103390288028621,1e-06,2.0696269144929325e-05,0.00020817255709023845,0.155017511733577
0.06332908400455114,1e-06,2.1171918297281692e-05,0.00020626257127107528,0.1588798438339825
0.0657105754603627,1e-06,2.1660890530447404e-05,0.00020432772805067598,0.16283840770257335
0.0681816229494448,1e-06,2.216345329997997e-05,0.00020237153509696074,0.16689560099780246
0.07074559422819879,1e-06,2.2679879733356164e-05,0.00020039772847797952,0.1710538811168779
0.0734059836975721,1e-06,2.321045007516325e-05,0.00019841020555153688,0.17531576668418153
0.07616641716552891,1e-06,2.3755453462376924e-05,0.00019641293112292665,0.17968383907677205
0.07903065678861347,1e-06,2.431519008414842e-05,0.00019440981047420526,0.18416074398789628
0.0820026061993413,1e-06,2.4889973788171676e-05,0.00019240452158094946,0.18874919302945667
0.08508631582640581,1e-06,2.5480135204341463e-05,0.00019040029730714076,0.19345196537440457
0.0882859884149515,1e-06,2.6086025466162423e-05,0.00018839964656388575,0.19827190944005463
0.0916059847544371,1e-06,2.670802062136177e-05,0.00018640400128419436,0.20321194461333977
0.09505082962189507,1e-06,2.7346526835546622e-05,0.00018441327354675024,0.20827506301905152
0.09862521794868778,1e-06,2.8001986506699208e-05,0.00018242530420957748,0.2134643313321373
0.10233402121916417,1e-06,2.8674943318747585e-05,0.00018043610209538747,0.21878289263515122
