t,k,delta_fdm,delta_dot_fdm
0.022527106426459807,1e-06,3.4053086057013236e+19,5.529108626915173e+22
0.022946763672319362,1e-06,6.646218782888973e+19,1.0401993644433416e+23
0.02337423870891815,1e-06,1.2820561620597382e+20,1.9341793983624244e+23
0.023809677173803584,1e-06,2.4429497133243282e+20,3.552532510904819e+23
0.024253227417603527,1e-06,4.602534977459256e+20,6.451675853033438e+23
0.024705040554568253,1e-06,8.569166530878335e+20,1.1578703586360377e+24
0.025165270514053917,1e-06,1.578243615983755e+21,2.0555589099483633e+24
0.02563407409296515,1e-06,2.873351513953717e+21,3.607639971552957e+24
0.026111611009174595,1e-06,5.177875217142993e+21,6.26590267632723e+24
0.026598043955937584,1e-06,9.225503114646551e+21,1.0763342220714654e+25
0.027093538657320514,1e-06,1.627839196442187e+22,1.8303102638679253e+25
0.027598263924661803,1e-06,2.8408633211226975e+22,3.0798185051709427e+25
0.02811239171408464,1e-06,4.911262957964259e+22,5.131243644382883e+25
0.028636097185081158,1e-06,8.403166440656361e+22,8.464678751398241e+25
0.02916955876018796,1e-06,1.424055648769356e+23,1.3826804296689249e+26
0.02971295818577334,1e-06,2.390965231541117e+23,2.237718463534657e+26
0.030266480593956924,1e-06,3.974894595260901e+23,3.5866881148166304e+26
0.030830314565682772,1e-06,6.552083506188803e+23,5.697770776230773e+26
0.03140465219496752,1e-06,1.069690815878061e+24,8.969038122796987e+26
0.03198968915434538,1e-06,1.731363926250319e+24,1.3992966165803355e+27
0.03258562476153226,1e-06,2.778706598298084e+24,2.1646686822231235e+27
0.03319266204733189,1e-06,4.419295291063761e+24,3.3194583325528874e+27
0.03381100782480685,1e-06,6.973699473036311e+24,5.048466109518578e+27
0.034440872759738235,1e-06,1.0911833669090876e+25,7.615537753508654e+27
0.03508247144239792,1e-06,1.6932530921550177e+25,1.139346267300204e+28
0.03573602246065788,1e-06,2.6081737231671117e+25,1.6914047149651865e+28
0.03640174847446141,1e-06,3.9846054357259166e+25,2.4913965463353542e+28
0.037079876291681704,1e-06,6.040810679597098e+25,3.6413887722836355e+28
0.03777063694539366,1e-06,9.093870604215864e+25,5.283313353055326e+28
0.03847426577258504,1e-06,1.3583581459856573e+26,7.608994492713112e+28
0.03919100249433404,1e-06,2.0143183666849305e+26,1.0878407412962613e+29
0.03992109129748051,1e-06,2.9672001390851046e+26,1.5444694531728918e+29
0.04066478091781856,1e-06,4.33902169236179e+26,2.1775212085609597e+29
0.041422324724838956,1e-06,6.30092920086756e+26,3.04881620344579e+29
0.04219398080805026,1e-06,9.092373897823325e+26,4.240534990165047e+29
0.04298001206490796,1e-06,1.3032697349329713e+27,5.8595826056764934e+29
0.04378068629038168,1e-06,1.8553944165638396e+27,8.04380420929541e+29
0.04459627626819094,1e-06,2.625495236966117e+27,1.0972485546933142e+30
0.04542705986374045,1e-06,3.692761127546654e+27,1.4875655047072517e+30
0.04627332011878691,1e-06,5.16006892768343e+27,2.0043206262375753e+30
0.04713534534786907,1e-06,7.167494794554792e+27,2.6842907566459316e+30
0.048013429236534504,1e-06,9.900389678474003e+27,3.57399343497372e+30
0.0489078709413959,1e-06,1.3595166408170976e+28,4.73126225553557e+30
0.0498189751920516,1e-06,1.8556886048925379e+28,6.227398265468867e+30
0.05074705239490466,1e-06,2.5193026134790838e+28,8.150963561040646e+30
0.05169241873891599,1e-06,3.4023291560017313e+28,1.061088091142577e+31
0.05265539630332755,1e-06,4.569464575785032e+28,1.3739287951885894e+31
0.053636313167392397,1e-06,6.103112134456568e+28,1.7695594685132186e+31
0.05463550352214876,1e-06,8.11082918842621e+28,2.267328512115278e+31
0.055653307784276455,1e-06,1.0726396922137915e+29,2.8904582726717214e+31
0.05669007271207434,1e-06,1.411313876687052e+29,3.6665436773291893e+31
0.057746151523598195,1e-06,1.847345487617444e+29,4.628119438463964e+31
0.058821904016999556,1e-06,2.406762673707064e+29,5.813782638789504e+31
0.05991769669310619,1e-06,3.121404631975003e+29,7.268877011541136e+31
0.06103390288028621,1e-06,4.0295111263048096e+29,9.046250481098145e+31
0.062170902861638275,1e-06,5.1768455828671905e+29,1.120701453201995e+32
0.06332908400455114,1e-06,6.620957189022987e+29,1.3821744485532793e+32
0.06450884089267693,1e-06,8.432284521480281e+29,1.6971936027700607e+32
0.0657105754603627,1e-06,1.0694119999855345e+30,2.07506913349879e+32
0.0669346971295866,1e-06,1.3504234395064864e+30,2.5264022832751347e+32
0.0681816229494448,1e-06,1.6978341179453956e+30,3.0631368678099657e+32
0.06945177773823696,1e-06,2.126023402148699e+30,3.698771531868106e+32
0.07074559422819879,1e-06,2.6519596231859397e+30,4.4484753491742525e+32
0.07206351321293052,1e-06,3.2952736802948966e+30,5.329177762701674e+32
0.0734059836975721,1e-06,4.0785770662591277e+30,6.35974367133085e+32
0.07477346305177587,1e-06,5.0280300561201615e+30,7.56095241107081e+32
0.07616641716552891,1e-06,6.175560515416553e+30,8.955655237738595e+32
0.07758532060787836,1e-06,7.558268286858226e+30,1.0568971935324976e+33
0.07903065678861347,1e-06,9.218247583717636e+30,1.2428307911889483e+33
0.0805029181229598,1e-06,1.1203132629093579e+31,1.4563534048805886e+33
0.0820026061993413,1e-06,1.3566637126367822e+31,1.7007074318586217e+33
0.08353023195026779,1e-06,1.6371570409709766e+31,1.9793441391830188e+33
0.08508631582640581,1e-06,1.9692110703759867e+31,2.2959733036956366e+33
0.08667138797389233,1e-06,2.36111203468647e+31,2.654556778814474e+33
0.0882859884149515,1e-06,2.8220718331571543e+31,3.05931486829702e+33
0.08993066723187623,1e-06,3.3623161429127965e+31,3.514737586913934e+33
0.0916059847544371,1e-06,3.9931611175878426e+31,4.025576573183591e+33
0.0933125117507825,1e-06,4.727630505862734e+31,4.5967262311626694e+33
0.09505082962189507,1e-06,5.580806328595435e+31,5.233284676380283e+33
0.0968215305996708,1e-06,6.5692050811713615e+31,5.940566121353745e+33
0.09862521794868778,1e-06,7.7108458626648705e+31,6.724092487225681e+33
0.10046250617173408,1e-06,9.025365870024017e+31,7.589586427039993e+33
0.10233402121916417,1e-06,1.05341396243458e+32,8.542961765865325e+33
0.10424040070215564,1e-06,1.226053794807817e+32,9.590207354611598e+33
0.1061822941099384,1e-06,1.4231686936961084e+32,1.0737203965994086e+34
0.10816036303107099,1e-06,1.6477332004972785e+32,1.1989897864751646e+34
0.11017528137883868,1e-06,1.9029361426331406e+32,1.335431018431695e+34
0.11222773562085077,1e-06,2.1921916693330055e+32,1.4836506973982503e+34
0.11431842501291496,1e-06,2.5191506208083032e+32,1.6442564330126436e+34
0.11644806183726861,1e-06,2.887712218861718e+32,1.8178528062304003e+34
0.11861737164524785,1e-06,3.302043626512933e+32,2.0050328952714426e+34
0.12082709350447766,1e-06,3.7668750999408766e+32,2.206333277818424e+34
0.12307798025066652,1e-06,4.2873632882822985e+32,2.4222601179921543e+34
0.12537079874409202,1e-06,4.86894562647566e+32,2.6533065003604373e+34
0.1277063301308644,1e-06,5.517344564691518e+32,2.8999478046129255e+34
0.13008537010905713,1e-06,6.2385707345499085e+32,3.1626364869567094e+34
0.1325087291997953,1e-06,7.038924805167209e+32,3.4417962160732894e+34
0.13497723302339418,1e-06,7.924997690985185e+32,3.737815337844711e+34
0.1374917225806419,1e-06,8.903731776866497e+32,4.0510425786925917e+34
0.14005305453932199,1e-06,9.98289340584489e+32,4.3817090187813245e+34
0.14266210152607367,1e-06,1.1170753043248953e+33,4.72997679334692e+34
0.14531975242368952,1e-06,1.2475897521183424e+33,5.095973273910283e+34
0.14802691267395085,1e-06,1.3907217135240818e+33,5.479787384408122e+34
0.1507845045861051,1e-06,1.5473888810217124e+33,5.881465656907742e+34
0.1535934676510897,1e-06,1.7185354832935222e+33,6.301008011523656e+34
0.1564547588616096,1e-06,1.9051296599111166e+33,6.738363244366951e+34
0.15936935303817745,1e-06,2.1081603771955236e+33,7.1934248476618375e+34
0.1623382431612278,1e-06,2.328666244273853e+33,7.666021198858162e+34
0.16536244070941805,1e-06,2.5677866400955327e+33,8.155813570735282e+34
0.16844297600423153,1e-06,2.826702405367324e+33,8.662382760098448e+34
0.17158089856100048,1e-06,3.1066218721775894e+33,9.185263882841024e+34
0.17477727744646807,1e-06,3.408776868523865e+33,9.723947358147894e+34
0.1780332016430114,1e-06,3.7344179621456077e+33,1.0277880459252459e+35
0.18134978041964955,1e-06,4.0848088552330444e+33,1.0846469511700357e+35
0.1847281437099634,1e-06,4.46121983292664e+33,1.1429082828786945e+35
0.18816944249705556,1e-06,4.8649201590884354e+33,1.2025054483374232e+35
0.1916748492056815,1e-06,5.297169774623672e+33,1.263368876156204e+35
0.1952455581016861,1e-06,5.759290943805279e+33,1.3254201655469444e+35
0.19888278569888096,1e-06,6.252709127284222e+33,1.3885657381958168e+35
0.2025877711735017,1e-06,6.778862154595285e+33,1.452706763577808e+35
0.20636177678638587,1e-06,7.339200918303049e+33,1.517740529562058e+35
0.21020608831301582,1e-06,7.935182968373056e+33,1.5835611295722657e+35
0.21412201548157292,1e-06,8.568265118165622e+33,1.6500602921342991e+35
0.21811089241915188,1e-06,9.239894955040288e+33,1.7171283701815622e+35
0.22217407810628836,1e-06,9.951501138465665e+33,1.7846555092399046e+35
0.22631295683995284,1e-06,1.070448235755023e+34,1.852533015525131e+35
0.23052893870517072,1e-06,1.1500194807971672e+34,1.920654947071486e+35
0.2348234600554275,1e-06,1.2339938035302617e+34,1.9889199532835787e+35
0.23919798400202386,1e-06,1.3224982962830596e+34,2.057227140741691e+35
0.2436540009125465,1e-06,1.4156787083933712e+34,2.125450460037854e+35
0.2481930289186254,1e-06,1.5136771203071908e+34,2.1934721519644633e+35
0.2528166144331499,1e-06,1.6166332607476628e+34,2.2611747215015482e+35
0.25752633267712,1e-06,1.724685189291697e+34,2.3284395650755725e+35
0.2623237882163122,1e-06,1.8379685706662863e+34,2.3951479606743694e+35
0.26721061550794334,1e-06,1.9566158649266138e+34,2.4611822206158144e+35
0.2721884794575178,1e-06,2.0807554256829454e+34,2.5264270253747675e+35
0.27725907598604826,1e-06,2.210510497873555e+34,2.59077095865967e+35
0.28242413260784344,1e-06,2.3459981058561793e+34,2.654108265876794e+35
0.28768540901905926,1e-06,2.487327821806474e+34,2.7163408602402037e+35
0.29304469769721425,1e-06,2.6346004035638e+34,2.777380603093659e+35
0.2985038245118731,1e-06,2.7879062901473916e+34,2.8371518875229726e+35
0.3040646493467067,1e-06,2.947324793188423e+34,2.8955929362247243e+35
0.3097290667331408,1e-06,3.112954488214819e+34,2.9526061081355803e+35
0.3154990064958087,1e-06,3.2848988970944904e+34,3.008098788739296e+35
0.3213764344100277,1e-06,3.4632505035859373e+34,3.061995480002155e+35
0.32736335287152457,1e-06,3.648096861288265e+34,3.1142225056555408e+35
0.3334618015786364,1e-06,3.8395201288641584e+34,3.164708616721413e+35
0.33967385822722074,1e-06,4.03759659108448e+34,3.2133856681173646e+35
0.34600163921851085,1e-06,4.24239616689408e+34,3.2601893730661086e+35
0.35244730038015837,1e-06,4.453981905961897e+34,3.3050601426164517e+35
0.35901303770070686,1e-06,4.672409475473433e+34,3.347944018213231e+35
0.365701088077749,1e-06,4.897726639253498e+34,3.388793705936204e+35
0.372513730080021,1e-06,5.129972731674847e+34,3.427569721766612e+35
0.37945328472369383,1e-06,5.36917812921786e+34,3.464241658039687e+35
0.38652211626312616,1e-06,5.615363723001911e+34,3.4987895821066174e+35
0.3937226329963479,1e-06,5.868540396114629e+34,3.531205579165655e+35
0.4010572880855496,1e-06,6.128708510125937e+34,3.561495452234866e+35
0.4085285803928561,1e-06,6.395862169417463e+34,3.589668149049702e+35
0.41613905533167067,1e-06,6.670017970821975e+34,3.6156910688492695e+35
0.42389130573387784,1e-06,6.951193148589642e+34,3.6395508874885754e+35
0.43178797273320213,1e-06,7.239396538284801e+34,3.6612414980338355e+35
0.4398317466650224,1e-06,7.5346289616531235e+34,3.6807612590648155e+35
0.44802536798294895,1e-06,7.836883135479557e+34,3.69811310640366e+35
0.45637162819247584,1e-06,8.14614364545303e+34,3.713304634442468e+35
0.4648733708020257,1e-06,8.462386995778874e+34,3.7263481414268156e+35
0.4735334922917116,1e-06,8.785581746494813e+34,3.73726063238791e+35
0.48235494310014676,1e-06,9.115688751778911e+34,3.746063772685813e+35
0.4913407286296362,1e-06,9.452661513998855e+34,3.752783784324034e+35
0.5004939102700954,1e-06,9.796446669852642e+34,3.757451276315567e+35
0.5098176064420424,1e-06,1.014698462670366e+35,3.760100999414858e+35
0.5193149936590212,1e-06,1.0504210369131586e+35,3.760771514471814e+35
0.5289893076098151,1e-06,1.0868054457819158e+35,3.759504762504418e+35
0.5388438442608223,1e-06,1.1238444245189567e+35,3.7563455233168974e+35
0.5488819609789671,1e-06,1.1615305334716907e+35,3.751340748100963e+35
0.559107077675529,1e-06,1.1998563313571521e+35,3.744538749937786e+35
0.5695226779712822,1e-06,1.238813229981348e+35,3.735994960709862e+35
0.5801323103833375,1e-06,1.278391221977889e+35,3.725766120572822e+35
0.5909395895340968,1e-06,1.3185841617436958e+35,3.713883110963295e+35
0.6019481973827271,1e-06,1.3593853320934732e+35,3.700379791035963e+35
0.6131618844795772,1e-06,1.4007872004965124e+35,3.6852943857157206e+35
0.6245844712439614,1e-06,1.4427814362311892e+35,3.668669359238631e+35
0.6362198492657485,1e-06,1.485358936891379e+35,3.650551226328089e+35
0.6480719826311967,1e-06,1.528509865548227e+35,3.630990292135897e+35
0.6601449092734886,1e-06,1.5722237000088296e+35,3.6100403111223576e+35
0.6724427423484246,1e-06,1.6164892957644177e+35,3.587758054003409e+35
0.6849696716357443,1e-06,1.6612949643857444e+35,3.564202770748062e+35
0.6977299649665534,1e-06,1.7066285693037954e+35,3.539435536357494e+35
0.7107279696773416,1e-06,1.75247764111097e+35,3.513518464788592e+35
0.7239681140910874,1e-06,1.7988295147329997e+35,3.486513774889332e+35
0.7374549090259551,1e-06,1.845671491056607e+35,3.4584826905801905e+35
0.7511929493320965,1e-06,1.892991025853966e+35,3.429484155732709e+35
0.7651869154570822,1e-06,1.9407759491242593e+35,3.399573342250531e+35
0.7794415750404946,1e-06,1.98901471827696e+35,3.368799927735594e+35
0.7939617845382279,1e-06,2.037696708913151e+35,3.3372061168074764e+35
0.8087524908770453,1e-06,2.0868125473224136e+35,3.304824377620741e+35
0.8238187331399606,1e-06,2.1363528469614215e+35,3.271687801912916e+35
0.8391656442830157,1e-06,2.1862995633460172e+35,3.237895525637333e+35
0.8547984528840409,1e-06,2.236641103995654e+35,3.2034905640099912e+35
0.8707224849239917,1e-06,2.2873670768195232e+35,3.1685045518783386e+35
0.8869431656014709,1e-06,2.338466621555753e+35,3.1329712787971184e+35
0.9034660211810525,1e-06,2.3899284327382716e+35,3.0969265958536755e+35
0.920296680876041,1e-06,2.4417407881808416e+35,3.0604082903099764e+35
0.9374408787662991,1e-06,2.493891583609673e+35,3.0234559237582936e+35
0.9549044557518077,1e-06,2.546368374135783e+35,2.9861106290372387e+35
0.9726933615426169,1e-06,2.599158423323082e+35,2.9484148606627424e+35
0.9908136566858666,1e-06,2.6522487606786808e+35,2.9104120929907715e+35
1.0092715146305709,1e-06,2.705626248468504e+35,2.8721464597411976e+35
1.0280732238308647,1e-06,2.7592776588444448e+35,2.8336623278709938e+35
1.0472251898884344,1e-06,2.8131897623596134e+35,2.795003798085092e+35
1.066733937734857,1e-06,2.8673494290462406e+35,2.756214123509821e+35
1.0866061138545968,1e-06,2.9217437433372016e+35,2.717335037221341e+35
1.106848488549412,1e-06,2.9763601342275385e+35,2.678405978413982e+35
1.127467958244946,1e-06,3.031186522197579e+35,2.6394632060044965e+35
1.148471547840289,1e-06,3.0862114845550797e+35,2.6005387873909366e+35
1.1698664131013068,1e-06,3.1414244410010377e+35,2.561659448911745e+35
1.1916598430985588,1e-06,3.196815861383541e+35,2.5228452732734487e+35
1.2138592626906277,1e-06,3.2523774977770134e+35,2.484108227825374e+35
1.236472235053715,1e-06,3.3081026432118344e+35,2.4454505060474328e+35
1.2595064642583575,1e-06,3.363985493044519e+35,2.4068749567652557e+35
1.2829697978941474,1e-06,3.420014257649066e+35,2.3684458937090883e+35
1.3068702297433463,1e-06,3.476176892430853e+35,2.3301892509985774e+35
1.3312159025043078,1e-06,3.532461860268054e+35,2.2921215904138967e+35
1.3560151105656333,1e-06,3.588857685483633e+35,2.2542593962268674e+35
1.3812763028320094,1e-06,3.645352984704692e+35,2.2166190281251995e+35
1.407008085602685,1e-06,3.70193649848717e+35,2.179216671262307e+35
1.433219225503574,1e-06,3.758597123519262e+35,2.1420682834021745e+35
1.4599186524739787,1e-06,3.815323945182066e+35,2.1051895391434102e+35
1.4871154628089538,1e-06,3.872106270207167e+35,2.0685957712235548e+35
1.5148189222583457,1e-06,3.928933659127447e+35,2.0323019089242976e+35
1.5430384691835646,1e-06,3.985795958169143e+35,1.9963224136206514e+35
1.5717837177731626,1e-06,4.042683330179448e+35,1.9606712115427515e+35
1.6010644613183176,1e-06,4.0995862841243e+35,1.9253616238480478e+35
1.6308906755493326,1e-06,4.156495702624835e+35,1.8904062941346553e+35
1.661272522034293,1e-06,4.213402866927702e+35,1.85581711356392e+35
1.6922203516410372,1e-06,4.2702994786233284e+35,1.8216051438022393e+35
1.72374470806362,1e-06,4.3271776773365786e+35,1.787780538039422e+35
1.7558563314144686,1e-06,4.384030053515281e+35,1.7543524603937773e+35
1.7885661618834618,1e-06,4.44084965533289e+35,1.721329004073405e+35
1.8218853434651652,1e-06,4.49762998860119e+35,1.6887171087293055e+35
1.855825227755517,1e-06,4.55436500845643e+35,1.656522477509714e+35
1.8903973778192196,1e-06,4.61104910143636e+35,1.6247494944072273e+35
1.9256135721291967,1e-06,4.667677056405356e+35,1.5934011425815281e+35
1.9614858085794296,1e-06,4.724244022608527e+35,1.5624789244418923e+35
1.9980263085725487,1e-06,4.7807454529422224e+35,1.5319827843859733e+35
2.035247521183576,1e-06,4.8371770303160524e+35,1.5019110352157388e+35
2.073162127401229,1e-06,4.893534574748643e+35,1.4722602893889817e+35
2.111783044448242,1e-06,4.9498139285841794e+35,1.443025396416802e+35
2.1511234301821647,1e-06,5.006011010222305e+35,1.4141997942629605e+35
2.1911966875781475,1e-06,5.062122460316143e+35,1.3857854053786113e+35
2.2320164692952322,1e-06,5.118139436570446e+35,1.3577892977747957e+35
2.273596682327715,1e-06,5.174052239103287e+35,1.3302168807027843e+35
2.3159514927431517,1e-06,5.229851771219037e+35,1.3030725604191082e+35
2.3590953305086337,1e-06,5.2855295723497185e+35,1.2763597104000457e+35
2.403042894406967,1e-06,5.3410778466656846e+35,1.2500806490691377e+35
2.44780915704444,1e-06,5.396489486353574e+35,1.2242366264817203e+35
2.493409369951878,1e-06,5.4517580884330374e+35,1.1988278215830405e+35
2.5398590687807236,1e-06,5.506877963844405e+35,1.1738533518463121e+35
2.587174078595921,1e-06,5.5618441373859045e+35,1.1493112973056644e+35
2.635370519267393,1e-06,5.616652336910057e+35,1.1251987412280423e+35
2.684464810961962,1e-06,5.671298970003019e+35,1.1015118299195581e+35
2.73447367973758,1e-06,5.725781086166381e+35,1.078245854437599e+35
2.7854141632417657,1e-06,5.780096322296549e+35,1.0553953572823443e+35
2.8373036165162118,1e-06,5.8342428290106864e+35,1.0329542674725591e+35
2.890159717909509,1e-06,5.888219175098016e+35,1.0109160677732523e+35
2.944000475100034,1e-06,5.942024227079306e+35,9.892739982396907e+34
2.9988442312310277,1e-06,5.99565700053295e+35,9.680213006764782e+34
3.054709671159968,1e-06,6.049116479490883e+35,9.471515090851112e+34
3.1116158278243597,1e-06,6.102401399818872e+35,9.266587916922095e+34
3.169582088726115,1e-06,6.1555099920705134e+35,9.06538350717332e+34
3.22862820253673,1e-06,6.2084396788393446e+35,8.867868866580592e+34
3.28877428582551,1e-06,6.261186721125426e+35,8.67403134545408e+34
3.350040829913133,1e-06,6.3137458076777e+35,8.48388480359494e+34
3.412448707852889,1e-06,6.366109580667424e+35,8.297476665990048e+34
3.4760191815419774,1e-06,6.418279383904161e+35,8.114715056559348e+34
3.54077390896527,1e-06,6.47026272552746e+35,7.935383029917213e+34
3.606734951574028,1e-06,6.522052092270168e+35,7.759489180703523e+34
3.673924781802074,1e-06,6.573640609191631e+35,7.587035759874446e+34
3.742366290721981,1e-06,6.625022234077879e+35,7.41801596873452e+34
3.812082795843888,1e-06,6.676191777324722e+35,7.252413926301643e+34
3.883098049059605,1e-06,6.727144913387073e+35,7.090204734520499e+34
3.9554362447347016,1e-06,6.777878182247059e+35,6.931354657232011e+34
